iter	Logloss
0	0.6319897486
1	0.5770863632
2	0.5270610551
3	0.4839561005
4	0.4456577595
5	0.4105177007
6	0.3796163653
7	0.3532026512
8	0.3286426925
9	0.3069986723
10	0.2887030392
11	0.2708700644
12	0.2565380585
13	0.2437782892
14	0.2313386833
15	0.2208568944
16	0.210807348
17	0.2028749295
18	0.194754184
19	0.1876711613
20	0.182062623
21	0.1767509458
22	0.1716469834
23	0.166929917
24	0.1628094242
25	0.1592651927
26	0.1559350255
27	0.1529813989
28	0.1501988672
29	0.1477367136
30	0.1456100857
31	0.1435345028
32	0.1419910154
33	0.1402756323
34	0.13891618
35	0.137398644
36	0.1362282383
37	0.1349781494
38	0.1339131839
39	0.1328759788
40	0.1319298397
41	0.1311721684
42	0.1303671452
43	0.1296556659
44	0.1290504208
45	0.1284437905
46	0.1279370372
47	0.1274412873
48	0.1269654696
49	0.1265375705
50	0.1261239676
51	0.1257696109
52	0.125432669
53	0.1251162092
54	0.1248075438
55	0.1245755209
56	0.1243257719
57	0.1241301922
58	0.1239198622
59	0.1237255183
60	0.1235524783
61	0.1233756534
62	0.1232083779
63	0.1230747622
64	0.1229250963
65	0.1228026159
66	0.1226857256
67	0.1225940481
68	0.1224845017
69	0.1223747261
70	0.1222772903
71	0.1221828487
72	0.1221108144
73	0.122016029
74	0.1219479679
75	0.121889261
76	0.1218222356
77	0.1217570406
78	0.1217002893
79	0.1216557432
80	0.1216104079
81	0.1215614614
82	0.1215110171
83	0.1214740591
84	0.1214334983
85	0.1213868788
86	0.1213348511
87	0.1213039164
88	0.1212734065
89	0.1212440024
90	0.1212097432
91	0.1211841782
92	0.1211506361
93	0.1211220143
94	0.1210936431
95	0.1210697256
96	0.1210436605
97	0.12101386
98	0.1209905012
99	0.1209705369
100	0.1209505377
101	0.1209298779
102	0.1209105856
103	0.1208888531
104	0.1208651555
105	0.1208481181
106	0.12082654
107	0.1208148256
108	0.1207946579
109	0.1207789565
110	0.120762999
111	0.1207458537
112	0.1207304852
113	0.1207177232
114	0.1207100418
115	0.1206964219
116	0.1206825148
117	0.1206635236
118	0.1206513696
119	0.1206389778
120	0.1206249354
121	0.1206096743
122	0.1205964391
123	0.1205854685
124	0.1205748092
125	0.1205613223
126	0.1205544483
127	0.1205369399
128	0.1205276866
129	0.1205199255
130	0.1205138259
131	0.1205041161
132	0.120498989
133	0.1204895501
134	0.1204757142
135	0.1204639484
136	0.1204572704
137	0.1204473289
138	0.1204458741
139	0.1204376678
140	0.1204308715
141	0.1204137944
142	0.1204045871
143	0.1204033805
144	0.1203907103
145	0.1203802413
146	0.1203763829
147	0.1203670941
148	0.1203564864
149	0.1203504462
150	0.1203480102
151	0.1203406636
152	0.1203395924
153	0.1203385853
154	0.1203381545
155	0.1203377365
156	0.1203281038
157	0.1203198927
158	0.12031184
159	0.1202998905
160	0.1202931314
161	0.1202921982
162	0.1202819811
163	0.120275502
164	0.1202709662
165	0.1202676282
166	0.1202610603
167	0.1202606795
168	0.1202600659
169	0.1202522564
170	0.1202471447
171	0.1202386512
172	0.1202319134
173	0.1202280333
174	0.1202215665
175	0.1202104839
176	0.1202069056
177	0.1202004367
178	0.1201926209
179	0.1201827118
180	0.120177977
181	0.1201717612
182	0.1201636754
183	0.1201568641
184	0.1201465911
185	0.1201348976
186	0.1201247576
187	0.1201166464
188	0.1201087526
189	0.1201023712
190	0.1200944916
191	0.1200940262
192	0.120082973
193	0.1200736152
194	0.120070726
195	0.1200633368
196	0.1200541913
197	0.120053938
198	0.1200506898
199	0.1200472233
200	0.120041221
201	0.1200376576
202	0.1200371332
203	0.120032816
204	0.1200242527
205	0.1200215182
206	0.1200186687
207	0.1200152196
208	0.1200105785
209	0.1200084413
210	0.1199953851
211	0.1199837221
212	0.1199760732
213	0.119970501
214	0.1199628391
215	0.1199587416
216	0.119953481
217	0.1199435741
218	0.1199346076
219	0.1199268125
220	0.1199221174
221	0.1199136129
222	0.1199134362
223	0.1199131816
224	0.1199118639
225	0.1199078049
226	0.1199030638
227	0.1198955018
228	0.1198893013
229	0.119885979
230	0.1198771329
231	0.1198698733
232	0.1198656437
233	0.1198579558
234	0.1198539179
235	0.1198490049
236	0.1198453631
237	0.1198359338
238	0.1198297719
239	0.1198295058
240	0.1198192638
241	0.1198139594
242	0.1198084816
243	0.1198051825
244	0.1197997677
245	0.1197993259
246	0.1197937754
247	0.1197898738
248	0.1197808891
249	0.1197776332
250	0.119773108
251	0.1197680214
252	0.119761907
253	0.1197586773
254	0.1197577027
255	0.1197499227
256	0.119745653
257	0.1197367518
258	0.1197326302
259	0.1197230617
260	0.1197164055
261	0.1197107656
262	0.1197085138
263	0.1197039034
264	0.1197034902
265	0.1197009739
266	0.1196950083
267	0.1196948627
268	0.1196928561
269	0.1196882166
270	0.1196821708
271	0.1196747894
272	0.1196711616
273	0.1196649495
274	0.119659419
275	0.1196511023
276	0.1196400185
277	0.1196327106
278	0.1196274683
279	0.1196214495
280	0.1196174198
281	0.1196143334
282	0.1196089895
283	0.1195973575
284	0.1195963289
285	0.1195893782
286	0.1195859626
287	0.1195781974
288	0.1195745528
289	0.1195681107
290	0.1195630327
291	0.1195602652
292	0.1195581721
293	0.1195571494
294	0.1195499666
295	0.1195415916
296	0.119538424
297	0.1195333612
298	0.1195277861
299	0.119521505
300	0.1195213647
301	0.119517378
302	0.1195109267
303	0.1195027162
304	0.1194974827
305	0.1194947395
306	0.1194944029
307	0.1194847171
308	0.1194787658
309	0.1194765047
310	0.1194733915
311	0.119470042
312	0.1194657647
313	0.1194601844
314	0.119454832
315	0.1194543438
316	0.1194498379
317	0.1194416618
318	0.1194320074
319	0.1194315483
320	0.1194288506
321	0.1194235311
322	0.1194223382
323	0.1194171709
324	0.1194106803
325	0.119404449
326	0.1194025873
327	0.1194010727
328	0.1194000848
329	0.1193968932
330	0.1193900928
331	0.1193807882
332	0.1193764996
333	0.1193726296
334	0.119368425
335	0.1193622318
336	0.119353127
337	0.1193484527
338	0.1193481608
339	0.1193448606
340	0.1193436047
341	0.119338347
342	0.119333587
343	0.119330482
344	0.1193262817
345	0.1193216103
346	0.1193199146
347	0.1193121658
