iter	Passed	Remaining
0	171	342232
1	280	280195
2	390	260219
3	497	248284
4	612	244586
5	716	238265
6	822	234276
7	913	227367
8	998	220837
9	1110	221060
10	1221	220856
11	1346	222989
12	1427	218125
13	1493	211848
14	1593	210873
15	1701	210973
16	1802	210214
17	1870	206002
18	1990	207557
19	2083	206297
20	2160	203630
21	2285	205527
22	2389	205354
23	2500	205843
24	2600	205441
25	2718	206365
26	2828	206700
27	2971	209268
28	3077	209141
29	3176	208613
30	3293	209169
31	3398	209002
32	3479	207373
33	3597	208044
34	3680	206644
35	3802	207460
36	3905	207227
37	4009	207018
38	4130	207697
39	4256	208557
40	4392	209883
41	4491	209400
42	4609	209782
43	4726	210095
44	4845	210509
45	4961	210767
46	5077	210985
47	5208	211828
48	5319	211819
49	5439	212150
50	5560	212480
51	5683	212909
52	5802	213159
53	5918	213299
54	6041	213662
55	6158	213779
56	6275	213928
57	6414	214770
58	6547	215417
59	6671	215714
60	6790	215850
61	6896	215578
62	7016	215742
63	7143	216096
64	7248	215789
65	7366	215871
66	7476	215704
67	7584	215497
68	7697	215430
69	7820	215614
70	7968	216487
71	8103	216986
72	8232	217304
73	8372	217914
74	8492	217970
75	8623	218303
76	8735	218148
77	8848	218032
78	8949	217619
79	9063	217523
80	9164	217107
81	9279	217047
82	9392	216932
83	9498	216661
84	9608	216479
85	9722	216382
86	9849	216571
87	9952	216236
88	10077	216390
89	10174	215917
90	10296	216001
91	10423	216179
92	10535	216039
93	10640	215754
94	10756	215690
95	10852	215236
96	10976	215343
97	11089	215222
98	11192	214925
99	11312	214931
100	11433	214971
101	11557	215058
102	11676	215054
103	11785	214866
104	11906	214882
105	12021	214791
106	12124	214506
107	12246	214546
108	12352	214297
109	12447	213878
110	12539	213397
111	12650	213244
112	12786	213515
113	12889	213247
114	12989	212918
115	13085	212520
116	13179	212106
117	13297	212081
118	13431	212314
119	13540	212129
120	13647	211930
121	13750	211670
122	13854	211414
123	13946	210994
124	14048	210721
125	14135	210237
126	14232	209898
127	14347	209828
128	14459	209711
129	14555	209376
130	14651	209031
131	14764	208938
132	14866	208687
133	14950	208190
134	15053	207957
